user_id,operator_name,content_id,show_duration
827375963,Rostelecom,9966,1400
890810589,LLC TOMTEL,10140,1271
929088258,OJS Moscow city telephone network,9572,30
987577016,Rostelecom,8014,1310
573841374,OJS Moscow city telephone network,9983,3205
757852413,Ekaterinburg-2000 LLC,9572,3105
991611208,"RECONN. Operator Svyazi, LLC",9983,2998
914647005,Rostelecom,7097,2870
924157490,Multiservice Networks Ltd.,10073,2569
1005188286,Prime-Service LLC,9572,3095
956265133,OJS Moscow city telephone network,10427,3085
736604024,E-Light-Telecom,9572,3095
852100063,E-Light-Telecom,9983,3111
966231004,Closed Joint Stock Company TransTeleCom,9195,5
1009409756,Rostelecom,9572,3141
617823607,Novotelecom Ltd,9786,1333
785668819,Teleseti Plus Ltd.,7097,1165
939987562,OJSC RITC,9572,40
986453029,PE Tsibrankov Konstantin Igorevich,7097,632
1007882880,E-Light-Telecom,10208,240
988997550,Rostelecom,9572,3150
601208910,Rostelecom,10590,286
844887993,"OJSC Rostelecom, Vladimir branch",9797,None
591218112,"National Telecom, CJSC",7097,1320
621027999,Mir Telematiki Ltd,10596,55
1010475971,Rostelecom,9572,120
636538359,Rostelecom,10956,5290
1008386233,E-Light-Telecom,10275,310
578732212,Miranda-Media Ltd,7384,360
912458575,Rostelecom,10939,735
1002616583,Rostelecom,9983,3181
767944789,OJSC RITC,9983,None
734409586,Telenet Ltd.,7423,2340
657807868,OJS Moscow city telephone network,10939,None
1009101941,Quartz Telecom LLC,9983,None
993515835,Rostelecom,9572,1080
668484550,Seti Weba Ltd,7097,2835
596820657,JSC ER-Telecom Holding,10939,725
847582994,OJS Moscow city telephone network,6793,124
1007854700,"StarTelecom, LLC",10208,900
968996196,Rostelecom,9561,336
984514967,LLC TOMTEL,9572,60
723940025,Rostelecom,9572,15
1010421145,Rostelecom,9803,60
972975718,Rostelecom,10112,1471
998975519,OJS Moscow city telephone network,9983,2575
946684849,E-Light-Telecom,10275,314
776673845,OJS Moscow city telephone network,7654,0
524703832,Rostelecom,6962,1380
893882834,OJS Moscow city telephone network,7654,1473
717781436,JSC Severen-Telecom,10579,2560
976527496,E-Light-Telecom,8014,1454
1007875262,OJSC RITC,9696,None
951684870,Rostelecom,9713,192
910823779,Rostelecom,9572,1575
647939458,JSC ER-Telecom Holding,8014,1245
936957337,Rostelecom,8014,1270
775868223,"OJSC Rostelecom, Vladimir branch",7575,None
958874577,Rostelecom,7097,None
605051352,VimpelCom,10624,None
685004277,OJS Moscow city telephone network,10275,311
1442656,OJS Moscow city telephone network,8706,397
1006633920,Optixtel Ltd,10112,1466
954746166,"OJSC Rostelecom, Vladimir branch",10112,1325
740107674,VimpelCom,9786,65
1008701707,JSC ER-Telecom Holding,8706,391
963650390,JSC ER-Telecom Holding,7097,2699
935930672,Novotelecom Ltd,10264,529
348812087,JSC ER-Telecom Holding,10613,2635
995339612,JSC ER-Telecom Holding,9786,1290
958874577,Rostelecom,7097,1527
975918145,JSC ER-Telecom Holding,10208,9
874976661,Llcrelcom,10146,3076
669741947,Inetcom LLC,10073,13
980944372,JSC ER-Telecom Holding,10112,1461
1009649133,Rostelecom,10939,15
997290519,Rostelecom,10624,2876
802231711,OJS Moscow city telephone network,7485,1621
914770137,"National Telecom, CJSC",7654,1455
629232455,OJS Moscow city telephone network,7654,1547
859240769,Agronet LLC,7485,2465
573320150,E-Light-Telecom,10050,30
701169491,OJSC Ufanet,10208,180
781778642,Khabarovskie Domovie Seti,9786,1261
890146212,Rostelecom,7097,1440
628551432,Irkutsk Business Net,7097,None
433405011,Novotelecom Ltd,7654,350
958874577,Rostelecom,7097,None
1005104231,TeleServis Ltd,9572,3090
961586312,Rostelecom,9983,420
535270,OJS Moscow city telephone network,9983,480
949077769,E-Light-Telecom,10821,None
917452899,OJS Moscow city telephone network,10140,2553
906488986,Miranda-Media Ltd,9572,2990
1009552348,Ekaterinburg-2000 LLC,7457,None
968241632,OJSC RITC,9983,480
914770137,"National Telecom, CJSC",7654,1462
1006677931,Closed Joint Stock Company TransTeleCom,10140,900
612109945,Novotelecom Ltd,9572,3151
849686780,Rostelecom,9218,744
901223062,OJS Moscow city telephone network,10264,0
1008187321,Rostelecom,8706,385
718132084,JSC ER-Telecom Holding,9572,3091
1008304178,Rostelecom,9572,3151
784977286,JSC ER-Telecom Holding,10073,25
714246088,LTD SibMediaFon,9572,3145
753193760,Rostelecom,9983,2820
771653429,SkyNet ISP,10112,60
1007115521,Multiservice Networks Ltd.,7097,2987
478631313,OJS Moscow city telephone network,9572,3145
1005422756,Rostelecom,7654,875
628551432,Irkutsk Business Net,7097,None
849507411,"OJSC Rostelecom, Vladimir branch",10275,15
1010374499,Closed Joint Stock Company TransTeleCom,9285,1
792936311,Novotelecom Ltd,10320,4020
568224361,Novotelecom Ltd,9983,3160
964486837,OJSC RITC,7356,20
907896819,Novotelecom Ltd,10748,3015
932917310,TOV Global-NET,10112,None
995056914,Teleseti Plus Ltd.,9572,7
935727610,MTS PJSC,9572,2820
661869743,OJS Moscow city telephone network,7097,None
988997550,Rostelecom,9572,1
1008386233,E-Light-Telecom,10275,305
893882834,OJS Moscow city telephone network,7654,1414
988997550,Rostelecom,9572,None
629580528,Rostelecom,7097,2875
1008209934,CJSC Kolomna-Sviaz TV,10112,None
781778642,Khabarovskie Domovie Seti,9786,239
993515835,Rostelecom,9572,3081
927564651,Bank24.ru (Joint-stock bank),7125,2700
1005104231,TeleServis Ltd,9572,1500
1009728269,Closed Joint Stock Company TransTeleCom,9983,2145
990875738,JSC ER-Telecom Holding,9572,1980
930962156,Ojsc oao Tattelecom,10073,2525
968241632,OJSC RITC,9983,900
1002616583,Rostelecom,9983,3126
646235465,LTD Elektrosvyaz,10084,600
